date,description,amount,type
2026-01-01,GROCERY STORE,-335,debit
2026-01-02,GYM MEMBERSHIP,-1005,debit
2026-01-03,GROCERY STORE,-2995,debit
2026-01-04,SWIGGY ORDER,-244,debit
2026-01-05,UBER TRIP,-2897,debit
2026-01-06,ZOMATO ORDER,-1302,debit
2026-01-07,NETFLIX SUB,-4553,debit
2026-01-08,AMAZON ORDER,-2616,debit
2026-01-09,AMAZON ORDER,-2728,debit
2026-01-10,OLA CAB,-3149,debit
2026-01-11,UBER TRIP,-1627,debit
2026-01-12,SWIGGY ORDER,-1210,debit
2026-01-13,ELECTRICITY BILL,-1131,debit
2026-01-14,ZOMATO ORDER,-1437,debit
2026-01-15,UBER TRIP,-4512,debit
2026-01-16,UBER TRIP,-828,debit
2026-01-17,SALARY CREDIT,60431,credit
2026-01-18,ELECTRICITY BILL,-642,debit
2026-01-19,OLA CAB,-1578,debit
2026-01-20,GROCERY STORE,-3733,debit
2026-01-21,ELECTRICITY BILL,-4711,debit
2026-01-22,NETFLIX SUB,-2940,debit
2026-01-23,UBER TRIP,-1712,debit
2026-01-24,NETFLIX SUB,-1460,debit
2026-01-25,SALARY CREDIT,89993,credit
2026-01-26,AMAZON ORDER,-115,debit
2026-01-27,SWIGGY ORDER,-2344,debit
2026-01-28,ELECTRICITY BILL,-3539,debit
2026-01-29,AMAZON ORDER,-2027,debit
2026-01-30,ELECTRICITY BILL,-1740,debit
2026-01-31,ZOMATO ORDER,-3147,debit
2026-02-01,OLA CAB,-3553,debit
2026-02-02,NETFLIX SUB,-255,debit
2026-02-03,GROCERY STORE,-4509,debit
2026-02-04,SALARY CREDIT,87814,credit
2026-02-05,GYM MEMBERSHIP,-1412,debit
2026-02-06,AMAZON ORDER,-3950,debit
2026-02-07,OLA CAB,-1779,debit
2026-02-08,OLA CAB,-4139,debit
2026-02-09,SALARY CREDIT,61372,credit
2026-02-10,SWIGGY ORDER,-4891,debit
2026-02-11,UBER TRIP,-1969,debit
2026-02-12,SALARY CREDIT,79328,credit
2026-02-13,GYM MEMBERSHIP,-561,debit
2026-02-14,ZOMATO ORDER,-4760,debit
2026-02-15,GROCERY STORE,-1578,debit
2026-02-16,AMAZON ORDER,-4159,debit
2026-02-17,GROCERY STORE,-815,debit
2026-02-18,OLA CAB,-2860,debit
2026-02-19,NETFLIX SUB,-1672,debit
2026-02-20,OLA CAB,-1899,debit
2026-02-21,NETFLIX SUB,-3924,debit
2026-02-22,AMAZON ORDER,-196,debit
2026-02-23,OLA CAB,-2027,debit
2026-02-24,ELECTRICITY BILL,-252,debit
2026-02-25,NETFLIX SUB,-2564,debit
2026-02-26,UBER TRIP,-706,debit
2026-02-27,ELECTRICITY BILL,-252,debit
2026-02-28,AMAZON ORDER,-2278,debit
2026-03-01,OLA CAB,-4462,debit
2026-03-02,ZOMATO ORDER,-1974,debit
2026-03-03,ZOMATO ORDER,-3370,debit
2026-03-04,AMAZON ORDER,-427,debit
2026-03-05,OLA CAB,-2324,debit
2026-03-06,ZOMATO ORDER,-2318,debit
2026-03-07,NETFLIX SUB,-2068,debit
2026-03-08,ZOMATO ORDER,-4081,debit
2026-03-09,UBER TRIP,-2774,debit
2026-03-10,UBER TRIP,-1976,debit
2026-03-11,SWIGGY ORDER,-283,debit
2026-03-12,GYM MEMBERSHIP,-505,debit
2026-03-13,OLA CAB,-605,debit
2026-03-14,SALARY CREDIT,81529,credit
2026-03-15,UBER TRIP,-2289,debit
2026-03-16,NETFLIX SUB,-911,debit
2026-03-17,ZOMATO ORDER,-1841,debit
2026-03-18,GYM MEMBERSHIP,-2079,debit
2026-03-19,GYM MEMBERSHIP,-550,debit
2026-03-20,OLA CAB,-3993,debit
2026-03-21,GROCERY STORE,-2568,debit
2026-03-22,GROCERY STORE,-2908,debit
2026-03-23,GROCERY STORE,-3468,debit
2026-03-24,UBER TRIP,-2517,debit
2026-03-25,GYM MEMBERSHIP,-1979,debit
2026-03-26,SWIGGY ORDER,-4096,debit
2026-03-27,SALARY CREDIT,85460,credit
2026-03-28,AMAZON ORDER,-3474,debit
2026-03-29,SWIGGY ORDER,-4609,debit
2026-03-30,SALARY CREDIT,73237,credit
2026-03-31,UBER TRIP,-2790,debit
2026-04-01,NETFLIX SUB,-353,debit
2026-04-02,OLA CAB,-1411,debit
2026-04-03,GYM MEMBERSHIP,-209,debit
2026-04-04,SALARY CREDIT,75392,credit
2026-04-05,GYM MEMBERSHIP,-4758,debit
2026-04-06,ELECTRICITY BILL,-932,debit
2026-04-07,SALARY CREDIT,86648,credit
2026-04-08,UBER TRIP,-3150,debit
2026-04-09,NETFLIX SUB,-2192,debit
2026-04-10,SALARY CREDIT,84339,credit
2026-04-11,ZOMATO ORDER,-491,debit
2026-04-12,SALARY CREDIT,77839,credit
